variable,subdomain,is_summary,mean_pct_missing,n_subjects_2+_waves,mean_waves_per_subject,mean_variance,miss_score,long_score,var_score,summary_bonus,composite_score
nt_y_stq__screen__wkdy__school__min_001,screen_weekday,False,34.916666666666664,9901,3.05,216.0097,0.6496811021644877,0.8852033974072419,6.781694333246924e-11,0.0,0.46046534988508225
nt_y_stq__screen__wkdy__school__hr_001,screen_weekday,False,34.916666666666664,9901,3.05,5.9742,0.6496811021644877,0.8852033974072419,1.872749730391636e-12,0.0,0.4604653498718934
nt_y_stq__screen__wknd__tot__hr_002,screen_weekend,True,53.935,7980,2.16,11.5096,0.45866046169040975,0.713455520786768,3.6106820764233324e-12,0.1,0.45163479474387547
nt_y_stq__screen__wknd__tot__min_002,screen_weekend,True,53.93666666666667,7980,2.16,201.1253,0.45864372164655076,0.713455520786768,6.314373449276945e-11,0.1,0.4516297727426244
nt_y_stq__screen__wkdy__tot__min_002,screen_weekday,True,54.81,7776,2.13,201.2196,0.4498719386644794,0.6952168082253017,6.317334157089043e-11,0.1,0.443526624079569
nt_y_stq__screen__wkdy__tot__hr_002,screen_weekday,True,54.81,7776,2.13,6.4377,0.4498719386644794,0.6952168082253017,2.018273385843038e-12,0.1,0.443526624067338
nt_y_stq__vidgame_004,other,False,35.64333333333334,9311,3.3,2193.1449,0.6423824430420009,0.832454179704962,6.885719414460376e-10,0.0,0.44245098696180324
nt_y_stq__vidgame_006,other,False,35.64333333333334,9311,3.3,1846.0087,0.6423824430420009,0.832454179704962,5.795826668753603e-10,0.0,0.4424509869400054
nt_y_stq__vidgame_003,other,False,35.64333333333334,9311,3.3,1470.3708,0.6423824430420009,0.832454179704962,4.616448020768959e-10,0.0,0.4424509869164178
nt_y_stq__vidgame_005,other,False,35.64333333333334,9311,3.3,1354.5068,0.6423824430420009,0.832454179704962,4.2526734184988135e-10,0.0,0.4424509869091423
nt_y_stq__vidgame_002,other,False,35.64333333333334,9311,3.3,1205.313,0.6423824430420009,0.832454179704962,3.7842542783330013e-10,0.0,0.4424509868997739
nt_y_stq__vidgame_001,other,False,35.64333333333334,9311,3.3,1077.6744,0.6423824430420009,0.832454179704962,3.3835113301409984e-10,0.0,0.44245098689175905
nt_y_stq__screen__wkdy__min_006,screen_weekday,False,50.01833333333334,10640,2.76,180.9034,0.49799956475885976,0.9512740277156907,5.679472735539576e-11,0.0,0.43478207775372407
nt_y_stq__screen__wkdy__min_004,screen_weekday,False,50.01833333333334,10640,2.76,163.4669,0.49799956475885976,0.9512740277156907,5.132024360506486e-11,0.0,0.43478207775262917
nt_y_stq__screen__wkdy__min_008,screen_weekday,False,50.01833333333334,10640,2.76,132.7279,0.49799956475885976,0.9512740277156907,4.166921524493401e-11,0.0,0.43478207775069894
nt_y_stq__screen__wkdy__hr_005,screen_weekday,False,50.01833333333334,10640,2.76,3.793,0.49799956475885976,0.9512740277156907,1.1879251408110572e-12,0.0,0.4347820777426027
nt_y_stq__screen__wkdy__hr_004,screen_weekday,False,50.01833333333334,10640,2.76,3.7408,0.49799956475885976,0.9512740277156907,1.1715360689349769e-12,0.0,0.4347820777425994
nt_y_stq__screen__wkdy__hr_003,screen_weekday,False,50.01833333333334,10640,2.76,3.4154,0.49799956475885976,0.9512740277156907,1.0693712415695265e-12,0.0,0.434782077742579
nt_y_stq__screen__wkdy__hr_008,screen_weekday,False,50.01833333333334,10640,2.76,2.624,0.49799956475885976,0.9512740277156907,8.208978415172297e-13,0.0,0.4347820777425293
nt_y_stq__screen__wkdy__min_003,screen_weekday,False,50.02,10640,2.76,178.679,0.49798282471500077,0.9512740277156907,5.60963393959867e-11,0.0,0.4347770557404267
nt_y_stq__screen__wkdy__hr_006,screen_weekday,False,50.03666666666667,10638,2.76,4.0461,0.4978154242764117,0.9510952168082253,1.267390161727454e-12,0.0,0.4346731923256445
nt_y_stq__screen__wkdy__min_005,screen_weekday,False,50.038333333333334,10638,2.76,192.9182,0.4977986842325528,0.9510952168082253,6.056697679556298e-11,0.0,0.4346681703243468
nt_y_stq__socmed_007,social_media,False,36.71333333333333,8948,3.21,4944.8224,0.6316353348845776,0.8,1.5525075798999225e-09,0.0,0.42949060077587475
nt_y_stq__socmed_003,social_media,False,36.71333333333333,8948,3.21,3576.7917,0.6316353348845776,0.8,1.122991229881065e-09,0.0,0.42949060068997147
nt_y_stq__socmed_011,social_media,False,36.71333333333333,8948,3.21,2040.7876,0.6316353348845776,0.8,6.407367931597251e-10,0.0,0.4294906005935206
nt_y_stq__socmed_013,social_media,False,36.71333333333333,8948,3.21,1808.1977,0.6316353348845776,0.8,5.677112646396041e-10,0.0,0.42949060057891547
nt_y_stq__socmed_012,social_media,False,36.71333333333333,8948,3.21,1550.7788,0.6316353348845776,0.8,4.868902521039429e-10,0.0,0.4294906005627513
nt_y_stq__socmed_008,social_media,False,36.71333333333333,8948,3.21,1462.2631,0.6316353348845776,0.8,4.5909925268897063e-10,0.0,0.42949060055719307
nt_y_stq__socmed_009,social_media,False,36.71333333333333,8948,3.21,1315.7959,0.6316353348845776,0.8,4.131134008060546e-10,0.0,0.4294906005479959
nt_y_stq__socmed_010,social_media,False,36.71333333333333,8948,3.21,1289.0812,0.6316353348845776,0.8,4.0472586941816345e-10,0.0,0.42949060054631844
nt_y_stq__sleep_011,sleep,False,47.673333333333325,9538,2.34,1649.5443,0.5215528064683531,0.8527492177022798,5.178993493908588e-10,0.0,0.4122906073547697
